Programa/Finalidade;Fundo de Financiamento ao Estudante de Ensino Superior - FIES;Fundo de Compensação das Variações Salariais - FCVS;Programa de Financiamento às Exportações - PROEX;Programa de Estímulo à Reestruturação e ao Fortalecimento das Instituições de Ensino Superior - PROIES;Concessão de Crédito - CAIXA ;Concessão de Crédito - Banco da Amazônia S/A - BASA;Concessão de Credito - BB ;Concessão de Credito - BNDES ;Concessão de Crédito - BNB ;Concessão de Crédito - Conta de Desenvolvimento Energético - CDE;Subscrição de ações da Petróleo Brasileiro S.A. - PETROBRÁS;Assunção de Dívida do ex- Território de Roraima - Credor CAIXA;Dívida Agrícola - Equalização Equivalência-Produto - Credor Banco do Brasil;Fundo Soberando do Brasil - FSB;Cobertura de Resultado Negativo do Banco Central;Carteira de Títulos do Banco Central;Outras Emissões Diretas;Assunção de Dívida da extinta RFFSA - Credora REFER;Emissão para o Fundo ID-ETF IMA-B;Programa de Reforma Agrária
Instrumento Legal;Lei nº 10.260/01;Lei nº 10.150/00;Lei nº 10.184/01;Lei nº 12.688/12 ;Legislacões  Especificas;Lei nº 12712/12;Legislacoes  Especificas;Legislações  Especificas;Lei nº 12.249/10;Lei nº 12.865/13;Lei nº 12.276/10;art. 14 do ADCT de 05/10/1988;Lei nº 9.138/95;Lei nº 11.887/08;Lei nº 11.803/08;Lei nº 10.179/01;Legislações  Especificas;Lei nº 11.483; de 31.05.2007;Lei nº 10.179/01;Decreto nº 578/92 e Lei nº 8.629/93
Títulos Emitidos;CFT-E;CVS;NTN-I;CFT-B;LTN/NTN-B;LTN;LTN/NTN-F;LTN/LFT/NTN-F/NTN-B;NTN-B;LTN/NTN-F;LFT;LTN/NTN-F/NTN-B;NTN-F/NTN-B;LTN/LFT/NTN-F/NTN-B;LTN/LFT/NTN-F/NTN-B; LTN/LFT /NTN-B;DIVERSOS;;NTN-B;TDA
mai/10;65.552,05;190.468,18;12.576,00;   -     ;   -     ;   -     ;   -     ;5.800.000,09;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;92.433,95
jun/10;53.656,33;66.436,82;15.266,50;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;3.998,44;   -     ;   -     ; -   
jul/10;36.769,43;106.598,76;58.272,18;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;182.027,18
ago/10;142.418,39;37.528,83;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;302,06
set/10;72.868,49;20.847,94;39.304,46;   -     ;   -     ;   -     ;   -     ;24.753.535,04;   -     ;   -     ;42.927.848,45;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;70.771,17
out/10;76.916,04;415.896,98;15.002,76;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;16,26
nov/10;91.270,62;166.627,58;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;42.873,01
dez/10;48.592,25;3.680.952,34;28.559,76;   -     ;   -     ;   -     ;   -     ;   -     ;999.998,60;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;19.999,19;   -     ;   -     ;22.486,36
jan/11;128.755,70;149.470,43;43.292,72;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;2.004.478,71;   -     ;   -     ;   -     ;   -     ;325,86
fev/11;7.944,31;2.073.726,59;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;12,82
mar/11;39.812,33;125.228,87;46.323,63;   -     ;   -     ;   -     ;   -     ;5.246.461,86;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;14.901,43
abr/11;74.136,41;406.176,41;17.045,32;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;486,28;   -     ;   -     ;876,28
mai/11;109.997,69;851.443,79;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;45.078,29
jun/11;190.665,61;103.911,06;58.368,59;   -     ;   -     ;   -     ;   -     ;29.999.999,16;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;191.215,52
jul/11;140.812,47;313.255,00;22.633,99;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;80.783,25
ago/11;4.592,04;1.548.188,70;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;142.908,30
set/11;93.390,21;321.100,21;98.556,16;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;1.642,64;   -     ;   -     ;11.805,67
out/11;88.974,08;693.274,36;22.819,89;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;82.909,27
nov/11;76.154,47;47.276,20;29.554,54;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;7.140,90
dez/11;495.401,02;772.522,98;32.812,33;   -     ;   -     ;   -     ;   -     ;14.999.999,99;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;232.275,84
jan/12;121.903,39;99.621,92;38.903,25;   -     ;   -     ;   -     ;   -     ;9.999.999,94;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;52.750.656,06;   -     ;1.370.320,58;   -     ;   -     ; -   
fev/12;3.960,96;654.631,76;18.420,41;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;49.155.211,68;   -     ;   -     ;   -     ;   -     ;1.489,17
mar/12;180.628,41;251.212,55;46.555,32;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;14.662,14
abr/12;312.327,77;119.950,49;29.780,39;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;157.341,33
mai/12;232.388,16;1.569,58;40.686,75;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;559,58
jun/12;216.748,24;1.635,46;34.169,59;   -     ;   -     ;   -     ;   -     ;9.999.999,93;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;83.901,48
jul/12;224.660,47;105.571,76;27.928,72;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ; -   
ago/12;6.334,39;78.458,73;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;33.301,35
set/12;210.423,79;   -     ;134.917,36;   -     ;12.999.998,00;   -     ;8.099.999,00;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;1.475,36
out/12;218.212,56;   -     ;97.800,60;   -     ;   -     ;   -     ;   -     ;19.999.999,70;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;63,78;   -     ;   -     ;69.825,90
nov/12;233.311,30;15.128,42;84.560,36;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;763.016,31;   -     ;   -     ; -   
dez/12;237.080,91;9.502,48;   -     ;   -     ;   -     ;   -     ;   -     ;14.999.999,86;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;14.293,75
jan/13;185.639,97;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;16.718,40
fev/13;2.945,65;288,08;177.923,93;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;193.842,53
mar/13;278.384,70;577,29;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;163.148,84
